class_name,method,groups,recall,precision,f1,fp,micro_recall
airplane,prompt,193,0.6093980070177986,0.7432861314008081,0.6329255993960342,5.538860103626943,0.5682591705533846
airplane,full,193,0.7053423274508731,0.761648652128882,0.7065375546300083,6.6735751295336785,0.6928022185806126
airplane,scale_prior,193,0.6417495630856419,0.7585815057355121,0.6658578181378711,5.83419689119171,0.6203201815202319
airplane,matched,193,0.6474259927291639,0.7498115759570887,0.6620369683172421,6.098445595854923,0.6141434514055213
airplane,dense_1024,193,0.8092462193580283,0.7646860526751826,0.7705985364533637,8.259067357512953,0.8027228034791378
airplane,dense_both,193,0.8955322269570364,0.6735096573509743,0.7497341151815272,13.735751295336788,0.879994957771335
helicopter,prompt,35,0.20015873015873015,0.20666666666666664,0.188285866180603,1.7714285714285714,0.075
helicopter,full,35,0.2092063492063492,0.26190476190476186,0.21545438688295832,1.8857142857142857,0.1125
helicopter,scale_prior,35,0.17264069264069262,0.24000000000000002,0.18908730158730158,1.9142857142857144,0.12083333333333333
helicopter,matched,35,0.15264069264069266,0.21142857142857144,0.16417887667887665,1.9428571428571428,0.10833333333333334
helicopter,dense_1024,35,0.3744052772624201,0.3873642726321298,0.347277091890675,3.4,0.3958333333333333
helicopter,dense_both,35,0.6633209647495362,0.35666166513225334,0.425233338090481,7.685714285714286,0.575
large-vehicle,prompt,203,0.25036444153697124,0.13242033072309528,0.14048272814087798,43.926108374384235,0.31109781633263534
large-vehicle,full,203,0.3739262968104301,0.12550693659035325,0.1630172289574906,53.2807881773399,0.4379300029913252
large-vehicle,scale_prior,203,0.34746575688025116,0.11974096244495762,0.15601037519127442,50.60591133004926,0.40293149865390365
large-vehicle,matched,203,0.3453396637710018,0.11667551917316939,0.1495871576906301,51.66009852216749,0.38917140293149866
large-vehicle,dense_1024,203,0.5444889750453417,0.1201462728900392,0.1770025625431216,79.53694581280789,0.6087346694585701
large-vehicle,dense_both,203,0.6768222827414072,0.09627530010640167,0.15270899666581886,160.83743842364532,0.7265928806461263
ship,prompt,64,0.4046730289085534,0.3608473481250937,0.3318620540608885,50.375,0.5383312155866158
ship,full,64,0.42087497221979203,0.3620306961621612,0.34605356127727743,57.5,0.6012282930961457
ship,scale_prior,64,0.45198313897297593,0.37264603586808176,0.3511253095438541,56.203125,0.5684561626429478
ship,matched,64,0.4678097181712664,0.3694745251546835,0.35599648244222354,56.0,0.5990046590427784
ship,dense_1024,64,0.5632260971752198,0.3633350974210061,0.3722675303030991,76.671875,0.6536954680220246
ship,dense_both,64,0.8470521149521171,0.30874987524491876,0.36781108158098585,157.0,0.904595510376959
small-vehicle,prompt,252,0.2247793729343578,0.48085306793066107,0.2847154016300815,67.36507936507937,0.26450238596432374
small-vehicle,full,252,0.2780685153832079,0.42639284873715966,0.31169372457475086,70.5436507936508,0.29593505480589405
small-vehicle,scale_prior,252,0.2658957310590077,0.4193691732740977,0.30205715352248225,72.21428571428571,0.2866595660815673
small-vehicle,matched,252,0.25946039763772155,0.40824709087898364,0.29484290397920304,69.4563492063492,0.28166958797037883
small-vehicle,dense_1024,252,0.42354909946690195,0.3778794669497019,0.37132635267096586,124.47619047619048,0.395030149531613
small-vehicle,dense_both,252,0.8017626862148975,0.45767151647682974,0.5579775909706814,357.6507936507937,0.8055669705381628
storage-tank,prompt,171,0.48890151787288566,0.5157435112780353,0.46541871112473193,7.450292397660819,0.513745236799129
storage-tank,full,171,0.5999010524206442,0.5256536963653711,0.5163647997388895,8.824561403508772,0.5743059335873707
storage-tank,scale_prior,171,0.5626910260452442,0.5099398371600938,0.49585618103578327,8.11111111111111,0.5321175830157866
storage-tank,matched,171,0.5561830618854866,0.5070000055281709,0.49187930535045243,8.146198830409357,0.5406913445835602
storage-tank,dense_1024,171,0.7671664212210565,0.531384716449182,0.5808100277664852,12.280701754385966,0.637996733805117
storage-tank,dense_both,171,0.8549722114054782,0.44467934464376596,0.5410581110637614,23.309941520467838,0.8101524224278716
swimming-pool,prompt,135,0.38293058217175363,0.4331125355955563,0.3560353977144853,10.355555555555556,0.2728790408256185
swimming-pool,full,135,0.5409260903579282,0.470755850863656,0.45244372401394495,11.91851851851852,0.5066019122780392
swimming-pool,scale_prior,135,0.5063668782433838,0.4796295532907533,0.4491067621369902,11.703703703703704,0.46107148277432086
swimming-pool,matched,135,0.5158912773461941,0.479770865905055,0.4536607278380501,11.718518518518518,0.4864167551980574
swimming-pool,dense_1024,135,0.7293574613427735,0.49288254945811477,0.5451915384048219,18.31111111111111,0.8034603126422826
swimming-pool,dense_both,135,0.7788456625758232,0.3569577653699606,0.44669707519603635,42.82962962962963,0.8588556685384732
