contrast,metric,delta,ci95_low,ci95_high,primary,ci97_5_low,ci97_5_high
full_minus_prompt,recall,0.09372562147444607,0.07826069115409158,0.10909201615377345,True,0.07578752848663194,0.11130517557368666
full_minus_prompt,precision,-0.00265704741344458,-0.014291679790855459,0.009004655917048377,False,,
full_minus_prompt,f1,0.04669155583842821,0.03497620900922032,0.05843759186143631,False,,
full_minus_prompt,fp,3.6324786324786302,1.4606283774421474,5.743633202406638,False,,
full_minus_prompt,tp,7.9221272554605875,3.9670234515034126,12.131951786727166,False,,
full_minus_prompt,fn,-7.922127255460595,-12.131951786727168,-3.967023451503413,False,,
full_minus_prompt,n_gt,0.0,0.0,0.0,False,,
full_minus_prompt,micro_recall,0.05099645433427069,0.025406133849524323,0.07780850199925515,False,,
full_minus_scale_prior,recall,0.029467918548210514,0.018091392141455307,0.04123039895482931,True,0.016541216951932683,0.04306133383839041
full_minus_scale_prior,precision,0.004851683992459055,-0.0032339565091029695,0.013324534776378702,False,,
full_minus_scale_prior,f1,0.01543942650579544,0.007430434551831392,0.023494030446489032,False,,
full_minus_scale_prior,fp,0.4909781576448182,-0.4063403810530232,1.4031240167485537,False,,
full_minus_scale_prior,tp,2.872744539411208,1.2743356795112093,4.599048170970485,False,,
full_minus_scale_prior,fn,-2.872744539411215,-4.599048170970492,-1.2743356795112097,False,,
full_minus_scale_prior,n_gt,0.0,0.0,0.0,False,,
full_minus_scale_prior,micro_recall,0.01849248074336718,0.008232897069272585,0.029217738822989503,False,,
full_minus_matched,recall,0.029916082770328423,0.019208432842441638,0.04104580681550033,False,,
full_minus_matched,precision,0.011313466411037365,0.003493112119991236,0.019665567329658656,False,,
full_minus_matched,f1,0.019698332708802557,0.011984117165330547,0.02758985996819946,False,,
full_minus_matched,fp,0.9031339031338987,0.05874853142636518,1.7315354385889274,False,,
full_minus_matched,tp,2.764482431149098,1.4700363528651406,4.181767067309399,False,,
full_minus_matched,fn,-2.764482431149105,-4.181767067309399,-1.4700363528651559,False,,
full_minus_matched,n_gt,0.0,0.0,0.0,False,,
full_minus_matched,micro_recall,0.01779557403105514,0.009561636965116204,0.02679074348200317,False,,
full_minus_dense_1024,recall,-0.1522049664157586,-0.16971599690627262,-0.13545465615340838,False,,
full_minus_dense_1024,precision,0.004069986073655885,-0.005998495064255353,0.01410667132494246,False,,
full_minus_dense_1024,f1,-0.05703968862150749,-0.06786564839813032,-0.046581696079176234,False,,
full_minus_dense_1024,fp,-20.85565052231719,-23.70730571620936,-18.221895845515398,False,,
full_minus_dense_1024,tp,-15.899335232668562,-19.773395343294826,-12.169915597818074,False,,
full_minus_dense_1024,fn,15.899335232668562,12.169915597818067,19.773395343294826,False,,
full_minus_dense_1024,n_gt,0.0,0.0,0.0,False,,
full_minus_dense_1024,micro_recall,-0.10234747524147203,-0.1275776631728998,-0.07849161139945834,False,,
full_minus_dense_both,recall,-0.331501544076891,-0.3494311041597044,-0.31392204736508783,False,,
full_minus_dense_both,precision,0.042132441158372336,0.028856943390127753,0.05518551133805131,False,,
full_minus_dense_both,f1,-0.07643817910811468,-0.09028150445300652,-0.06295188638539122,False,,
full_minus_dense_both,fp,-103.29439696106363,-115.44540391145382,-91.7675960392254,False,,
full_minus_dense_both,tp,-69.43304843304843,-80.67361657184199,-59.378554815519614,False,,
full_minus_dense_both,fn,69.43304843304843,59.378554815519614,80.67361657184198,False,,
full_minus_dense_both,n_gt,0.0,0.0,0.0,False,,
full_minus_dense_both,micro_recall,-0.44695561804621586,-0.4695974584666405,-0.4241042638264765,False,,
