method,logical_calls,unique_calls,logical_input_pixels,logical_inference_seconds,cached_inference_seconds,merge_and_match_cpu_seconds,single_decode_all_images_seconds
prompt,10530,8175,11041505280,1368.1471579317003,1059.5241980999708,17.424434516578913,45.46753858961165
full,10530,7000,11041505280,1371.904346268624,909.4049885477871,21.130221985280514,45.46753858961165
scale_prior,10530,6780,11041505280,1372.3961516283453,882.8384601641446,19.620446983724833,45.46753858961165
matched,10530,7036,11041505280,1369.219219878316,913.5520440917462,19.70816583558917,45.46753858961165
dense_1024,25302,9221,26531069952,3302.6660696417093,1206.8732352461666,30.509276401251554,45.46753858961165
dense_both,122710,44705,128670760960,16028.623576242477,5859.362037373707,71.27330697141588,45.46753858961165
