image_id,class_name,method,tp,fp,fn,ignored,n_gt,kept_predictions,recall,precision,f1,logical_calls,inference_seconds,postprocess_seconds
00249,airplane,prompt,18,5,8,2,26,25,0.6923076923076923,0.782608695652174,0.7346938775510204,10,1.3115792851895094,0.007386714220046997
00249,airplane,full,19,3,7,2,26,24,0.7307692307692307,0.8636363636363636,0.7916666666666666,10,1.504366086795926,0.006700674071907997
00249,airplane,scale_prior,18,2,8,2,26,22,0.6923076923076923,0.9,0.782608695652174,10,1.3570745047181845,0.004520261660218239
00249,airplane,matched,17,3,9,2,26,22,0.6538461538461539,0.85,0.7391304347826086,10,1.3533083833754063,0.006206421181559563
00249,airplane,dense_1024,26,4,0,2,26,32,1.0,0.8666666666666667,0.9285714285714286,24,3.317814299836755,0.0068221502006053925
00249,airplane,dense_both,25,8,1,2,26,35,0.9615384615384616,0.7575757575757576,0.847457627118644,115,15.110675349831581,0.011538365855813026
00249,helicopter,prompt,0,0,1,0,1,0,0.0,0.0,0.0,10,1.6579776853322983,4.713423550128937e-05
00249,helicopter,full,0,0,1,0,1,0,0.0,0.0,0.0,10,1.7091964483261108,4.4152140617370605e-05
00249,helicopter,scale_prior,0,0,1,0,1,0,0.0,0.0,0.0,10,1.8005398288369179,3.229454159736633e-05
00249,helicopter,matched,0,0,1,0,1,0,0.0,0.0,0.0,10,2.0081299617886543,3.114156424999237e-05
00249,helicopter,dense_1024,0,0,1,0,1,0,0.0,0.0,0.0,24,3.317814299836755,3.0161812901496887e-05
00249,helicopter,dense_both,1,1,0,0,1,2,1.0,0.5,0.6666666666666666,115,15.110675349831581,0.00041995197534561157
00249,large-vehicle,prompt,1,1,11,0,12,2,0.08333333333333333,0.5,0.14285714285714285,10,1.3834883887320757,0.00036750733852386475
00249,large-vehicle,full,0,1,12,0,12,1,0.0,0.0,0.0,10,1.701686492189765,0.0001936778426170349
00249,large-vehicle,scale_prior,0,1,12,0,12,1,0.0,0.0,0.0,10,1.5963149312883615,0.00018753483891487122
00249,large-vehicle,matched,0,1,12,0,12,1,0.0,0.0,0.0,10,1.5963149312883615,0.00019702687859535217
00249,large-vehicle,dense_1024,2,12,10,0,12,14,0.16666666666666666,0.14285714285714285,0.15384615384615385,24,3.317814299836755,0.0019329041242599487
00249,large-vehicle,dense_both,5,18,7,0,12,23,0.4166666666666667,0.21739130434782608,0.2857142857142857,115,15.110675349831581,0.003959581255912781
00249,small-vehicle,prompt,168,44,451,4,619,216,0.27140549273021003,0.7924528301886793,0.4043321299638989,10,1.2873050682246685,0.03981383703649044
00249,small-vehicle,full,2,67,617,1,619,70,0.0032310177705977385,0.028985507246376812,0.005813953488372093,10,1.5610593147575855,0.017841022461652756
00249,small-vehicle,scale_prior,2,44,617,1,619,47,0.0032310177705977385,0.043478260869565216,0.006015037593984963,10,1.451848991215229,0.013044463470578194
00249,small-vehicle,matched,2,15,617,1,619,18,0.0032310177705977385,0.11764705882352941,0.006289308176100629,10,1.4461131133139133,0.004592904821038246
00249,small-vehicle,dense_1024,3,111,616,2,619,116,0.004846526655896607,0.02631578947368421,0.008185538881309686,24,3.317814299836755,0.03119337372481823
00249,small-vehicle,dense_both,515,303,104,11,619,829,0.8319870759289176,0.6295843520782396,0.7167710508002784,115,15.110675349831581,0.1893770545721054
00249,storage-tank,prompt,0,4,2,0,2,4,0.0,0.0,0.0,10,1.6931000798940659,0.0007589012384414673
00249,storage-tank,full,0,4,2,0,2,4,0.0,0.0,0.0,10,1.7068659532815218,0.0007188320159912109
00249,storage-tank,scale_prior,0,3,2,0,2,3,0.0,0.0,0.0,10,1.6047993265092373,0.0005645770579576492
00249,storage-tank,matched,0,3,2,0,2,3,0.0,0.0,0.0,10,1.603758066892624,0.000575607642531395
00249,storage-tank,dense_1024,2,6,0,0,2,8,1.0,0.25,0.4,24,3.317814299836755,0.0013806745409965515
00249,storage-tank,dense_both,2,7,0,0,2,9,1.0,0.2222222222222222,0.36363636363636365,115,15.110675349831581,0.001980910077691078
00249,swimming-pool,prompt,2,2,0,0,2,4,1.0,0.5,0.6666666666666666,10,1.403378076851368,0.0009092465043067932
00249,swimming-pool,full,2,2,0,0,2,4,1.0,0.5,0.6666666666666666,10,1.4647592585533857,0.0009210202842950821
00249,swimming-pool,scale_prior,2,2,0,0,2,4,1.0,0.5,0.6666666666666666,10,1.41813681460917,0.0006145983934402466
00249,swimming-pool,matched,2,2,0,0,2,4,1.0,0.5,0.6666666666666666,10,1.216259041801095,0.0008645206689834595
00249,swimming-pool,dense_1024,2,2,0,0,2,4,1.0,0.5,0.6666666666666666,24,3.317814299836755,0.0006216689944267273
00249,swimming-pool,dense_both,2,3,0,0,2,5,1.0,0.4,0.5714285714285714,115,15.110675349831581,0.0010095201432704926
00256,large-vehicle,prompt,6,57,65,0,71,63,0.08450704225352113,0.09523809523809523,0.08955223880597014,10,1.24265643581748,0.008474452421069145
00256,large-vehicle,full,29,134,42,0,71,163,0.4084507042253521,0.17791411042944785,0.24786324786324787,10,1.2367180828005075,0.023890579119324684
00256,large-vehicle,scale_prior,35,145,36,0,71,180,0.49295774647887325,0.19444444444444445,0.2788844621513944,10,1.1304095331579447,0.026367155835032463
00256,large-vehicle,matched,29,144,42,0,71,173,0.4084507042253521,0.1676300578034682,0.23770491803278687,10,1.1302707735449076,0.02436286397278309
00256,large-vehicle,dense_1024,54,278,17,0,71,332,0.7605633802816901,0.16265060240963855,0.2679900744416873,24,3.0886773597449064,0.0601690448820591
00256,large-vehicle,dense_both,60,391,11,0,71,451,0.8450704225352113,0.13303769401330376,0.22988505747126436,115,14.87607828900218,0.09042045660316944
