method,metric,num_queries,num_images,mean,ci95_low,ci95_high
openclip,hit_at_1,5420,458,0.6562730627306274,0.6296291175024582,0.6826708520138195
openclip,hit_at_5,5420,458,0.8618081180811809,0.8411381263050268,0.8823310958036513
openclip,hit_at_10,5420,458,0.9136531365313652,0.8962763570893983,0.9303283317697018
openclip,precision_at_5,5420,458,0.6034071340713418,0.5792265916376523,0.6278353160882515
openclip,precision_at_10,5420,458,0.5669100333860473,0.5432723032127164,0.5909931544960499
openclip,recall_at_5,5420,458,0.329586901418566,0.3055441875198834,0.3548809268831261
openclip,recall_at_10,5420,458,0.5122330250218459,0.4810482302793911,0.5449185994720327
openclip,ndcg_at_5,5420,458,0.631695147891238,0.6068895342092204,0.656533024311594
openclip,ndcg_at_10,5420,458,0.6468392742166168,0.6213993125027898,0.6723421258483008
openclip,object_recall_at_5,5420,458,0.6489014754144691,0.6203187786506128,0.6779411050633504
openclip,object_recall_at_10,5420,458,0.7731047108142778,0.747022487060562,0.7987982586070614
openclip_priver,hit_at_1,5420,458,0.7498154981549815,0.7212747522643422,0.7793804833887454
openclip_priver,hit_at_5,5420,458,0.9092250922509224,0.8907374664047963,0.9274924471299094
openclip_priver,hit_at_10,5420,458,0.9453874538745388,0.9311349206349206,0.9596252560706356
openclip_priver,precision_at_5,5420,458,0.6859532595325949,0.6616330038163747,0.7112732372120307
openclip_priver,precision_at_10,5420,458,0.623976454050255,0.6013129621085426,0.6471773692127938
openclip_priver,recall_at_5,5420,458,0.3790518497847278,0.3549266806015526,0.4046733811636511
openclip_priver,recall_at_10,5420,458,0.5678957492766024,0.5380544523324939,0.5990277378239324
openclip_priver,ndcg_at_5,5420,458,0.7227777902871718,0.6981043935151309,0.7486256792066041
openclip_priver,ndcg_at_10,5420,458,0.7278366823009225,0.7032340011029473,0.7528593618456998
openclip_priver,object_recall_at_5,5420,458,0.7691316157288203,0.7415097194273844,0.7964093569088827
openclip_priver,object_recall_at_10,5420,458,0.8567727053779735,0.8335929954322988,0.8794741858154672
georsclip,hit_at_1,5420,458,0.6112546125461255,0.5846038020943144,0.6382489162850726
georsclip,hit_at_5,5420,458,0.8333948339483395,0.8125932941041253,0.8541974352261419
georsclip,hit_at_10,5420,458,0.9,0.8827428565642655,0.9170355013429418
georsclip,precision_at_5,5420,458,0.5856949569495699,0.5625878438126913,0.609743961352657
georsclip,precision_at_10,5420,458,0.5575926902126164,0.5353850153204928,0.5806599941171388
georsclip,recall_at_5,5420,458,0.3299649046501773,0.3059210455808381,0.3552475153183956
georsclip,recall_at_10,5420,458,0.5186804801525438,0.487376201831061,0.5507464609273068
georsclip,ndcg_at_5,5420,458,0.6086882766097631,0.5849006547941089,0.6329845944047945
georsclip,ndcg_at_10,5420,458,0.6331207169448954,0.6088020750024576,0.6579417955328061
georsclip,object_recall_at_5,5420,458,0.6254176315239857,0.5965293368760037,0.6546015779088705
georsclip,object_recall_at_10,5420,458,0.7565824104529719,0.7303422542642388,0.7826270999961666
georsclip_priver,hit_at_1,5420,458,0.7202952029520295,0.6923076923076923,0.7479677783552265
georsclip_priver,hit_at_5,5420,458,0.8745387453874539,0.8537800558010371,0.8948959163244877
georsclip_priver,hit_at_10,5420,458,0.9210332103321032,0.9045150765514824,0.937025938851515
georsclip_priver,precision_at_5,5420,458,0.6537761377613781,0.6296655595719702,0.6782984420954933
georsclip_priver,precision_at_10,5420,458,0.6010982252679667,0.5791994897562097,0.6235029208865998
georsclip_priver,recall_at_5,5420,458,0.3670874317433581,0.3422602809808545,0.3931691187457315
georsclip_priver,recall_at_10,5420,458,0.5583611010356413,0.5281638719360977,0.5889042902379128
georsclip_priver,ndcg_at_5,5420,458,0.689270333436626,0.6647045540267458,0.7142379597180678
georsclip_priver,ndcg_at_10,5420,458,0.7007983179558458,0.6764129557214935,0.7247892492361301
georsclip_priver,object_recall_at_5,5420,458,0.7344252867585402,0.7055808560454484,0.7627474385435908
georsclip_priver,object_recall_at_10,5420,458,0.8297930887295765,0.8053324931949756,0.85355634102625
remoteclip,hit_at_1,5420,458,0.7245387453874539,0.6988461357817913,0.7509300941758037
remoteclip,hit_at_5,5420,458,0.9197416974169742,0.903651482284888,0.9351715623755132
remoteclip,hit_at_10,5420,458,0.9538745387453874,0.941793566349472,0.9649745201996048
remoteclip,precision_at_5,5420,458,0.6600123001230018,0.6378087009980972,0.682946478756583
