group_type,group,num_queries,priver_num_queries,priver_hit_at_1,priver_hit_at_5,priver_hit_at_10,priver_precision_at_5,priver_precision_at_10,priver_recall_at_10,semantic_num_queries,semantic_hit_at_1,semantic_hit_at_5,semantic_hit_at_10,semantic_precision_at_5,semantic_precision_at_10,semantic_recall_at_10,delta_hit_at_1,delta_hit_at_5,delta_hit_at_10,delta_precision_at_5,delta_precision_at_10,delta_recall_at_10
class_name,tennis-court,372,372,0.8924731182795699,0.956989247311828,0.989247311827957,0.8473118279569892,0.7838709677419354,0.8331830827161896,372,0.9086021505376344,0.9731182795698924,0.9838709677419356,0.8118279569892473,0.75752688172043,0.80589754991283,-0.0161290322580645,-0.0161290322580645,0.0053763440860215,0.0354838709677419,0.0263440860215053,0.0272855328033595
class_name,storage-tank,240,240,0.4666666666666667,0.7333333333333333,0.7833333333333333,0.4,0.3408333333333334,0.2961426583133921,240,0.4041666666666667,0.6125,0.7125,0.3433333333333334,0.2979166666666666,0.2479138452223111,0.0625,0.1208333333333332,0.0708333333333333,0.0566666666666666,0.0429166666666667,0.0482288130910809
class_name,large-vehicle,632,632,0.8227848101265823,0.9493670886075948,0.9683544303797468,0.7531645569620252,0.6888336347197107,0.62525747778273,632,0.6629746835443038,0.9018987341772152,0.939873417721519,0.6566455696202531,0.6402576853526221,0.5818165099764011,0.1598101265822785,0.0474683544303796,0.0284810126582278,0.0965189873417721,0.0485759493670886,0.0434409678063288
class_name,swimming-pool,248,248,0.7741935483870968,0.935483870967742,0.9838709677419356,0.6365591397849463,0.5166282642089094,0.7217421961678278,248,0.7258064516129032,0.8911290322580645,0.9556451612903226,0.5309139784946236,0.4662250384024577,0.6431729731527507,0.0483870967741935,0.0443548387096773,0.0282258064516128,0.1056451612903226,0.0504032258064516,0.078569223015077
class_name,baseball-diamond,212,212,0.7547169811320755,0.9433962264150944,1.0,0.6792452830188679,0.594811320754717,0.67819298390222,212,0.75,0.9339622641509434,0.9764150943396226,0.629245283018868,0.5443396226415095,0.6152675425363079,0.0047169811320755,0.0094339622641509,0.0235849056603774,0.0499999999999999,0.0504716981132075,0.0629254413659121
class_name,harbor,464,464,0.8275862068965517,0.9482758620689656,0.9655172413793104,0.8327586206896552,0.8086206896551725,0.5038866422199884,464,0.7758620689655172,0.915948275862069,0.9461206896551724,0.7775862068965518,0.7560344827586207,0.4707611344500757,0.0517241379310344,0.0323275862068965,0.019396551724138,0.0551724137931034,0.0525862068965518,0.0331255077699126
class_name,ground-track-field,284,284,0.4084507042253521,0.7746478873239436,0.8591549295774648,0.4140845070422534,0.3538732394366197,0.4907855611266913,284,0.4049295774647887,0.6267605633802817,0.7746478873239436,0.3295774647887324,0.2999999999999999,0.4074747032185833,0.0035211267605633,0.1478873239436618,0.0845070422535211,0.084507042253521,0.0538732394366197,0.083310857908108
class_name,soccer-ball-field,236,236,0.7796610169491526,0.9322033898305084,0.9491525423728814,0.6372881355932203,0.5313559322033897,0.6499944646412815,236,0.7203389830508474,0.8813559322033898,0.9067796610169492,0.5771186440677966,0.4716101694915254,0.5783817353508992,0.0593220338983051,0.0508474576271186,0.0423728813559322,0.0601694915254237,0.0597457627118642,0.0716127292903823
class_name,basketball-court,156,156,0.5897435897435898,0.8205128205128205,0.8717948717948718,0.5384615384615384,0.4347069597069597,0.6364626386685212,156,0.5705128205128205,0.75,0.8269230769230769,0.4269230769230769,0.3725274725274725,0.5424703156320803,0.0192307692307692,0.0705128205128204,0.0448717948717949,0.1115384615384615,0.0621794871794871,0.0939923230364409
class_name,roundabout,268,268,0.417910447761194,0.746268656716418,0.8805970149253731,0.3701492537313433,0.3313432835820896,0.4802384182981198,268,0.3097014925373134,0.6753731343283582,0.8283582089552238,0.3067164179104477,0.2690298507462686,0.3805718495168816,0.1082089552238805,0.0708955223880597,0.0522388059701492,0.0634328358208956,0.0623134328358209,0.0996665687812382
class_name,ship,552,552,0.8043478260869565,0.9347826086956522,0.9492753623188406,0.7681159420289855,0.7246376811594203,0.4826221058481427,552,0.717391304347826,0.9003623188405797,0.9384057971014492,0.6891304347826086,0.6619565217391306,0.4434658378212866,0.0869565217391304,0.0344202898550725,0.0108695652173913,0.0789855072463768,0.0626811594202897,0.0391562680268561
class_name,small-vehicle,1100,1100,0.8945454545454545,0.9745454545454544,0.9890909090909092,0.7949090909090909,0.7274285714285714,0.6307133308912689,1100,0.7081818181818181,0.9327272727272728,0.9618181818181818,0.6798181818181818,0.661974025974026,0.5768384208523655,0.1863636363636364,0.0418181818181817,0.0272727272727273,0.1150909090909091,0.0654545454545454,0.0538749100389034
class_name,plane,284,284,0.8732394366197183,0.9295774647887324,0.943661971830986,0.8112676056338027,0.7647887323943662,0.4392379543769907,284,0.7711267605633803,0.9014084507042254,0.943661971830986,0.7281690140845071,0.696830985915493,0.3968598123920424,0.102112676056338,0.028169014084507,0.0,0.0830985915492956,0.0679577464788732,0.0423781419849482
class_name,helicopter,64,64,0.375,0.5625,0.6875,0.3,0.2859375,0.3569855137395459,64,0.28125,0.46875,0.59375,0.225,0.20625,0.2273796856332138,0.09375,0.09375,0.09375,0.0749999999999999,0.0796875,0.1296058281063321
class_name,bridge,300,300,0.52,0.8666666666666667,0.9333333333333332,0.4613333333333334,0.4093333333333334,0.3802725248074907,300,0.43,0.8233333333333334,0.8766666666666667,0.376,0.3276666666666666,0.3092381657634886,0.09,0.0433333333333333,0.0566666666666666,0.0853333333333333,0.0816666666666667,0.071034359044002
