dataset,metric,semantic,priver,delta
DOTA-v1.5,hit_at_1,0.6562730627306274,0.7498154981549815,0.09354243542435414
DOTA-v1.5,precision_at_10,0.5669100333860473,0.623976454050255,0.05706642066420775
DOTA-v1.5,ndcg_at_10,0.6468392742166168,0.7278366823009225,0.08099740808430567
DOTA-v1.5,object_recall_at_10,0.7731047108142778,0.8567727053779735,0.08366799456369567
SODA-A,hit_at_1,0.4794570799706529,0.5942773294203962,0.11482024944974334
SODA-A,precision_at_10,0.4141966250917093,0.4983859134262655,0.08418928833455619
SODA-A,ndcg_at_10,0.4448807253696322,0.5449586985952198,0.10007797322558765
SODA-A,object_recall_at_10,0.4669685616882267,0.6391580247933775,0.17218946310515076
