dataset,subset,num_queries,semantic_precision_at_10,priver_precision_at_10,delta_precision_at_10,semantic_hit_at_1,priver_hit_at_1,delta_hit_at_1
DOTA-v1.5,hard_composite,3372,0.3828743715754392,0.4490072304129244,0.06613285883748521,0.447508896797153,0.608540925266904,0.16103202846975095
DOTA-v1.5,baseline_low_precision10,2223,0.2007583060214639,0.2865882655356339,0.08582995951416997,0.321187584345479,0.4345479082321187,0.11336032388663969
DOTA-v1.5,few_positive_patches,1900,0.3796591478696742,0.41034335839599,0.030684210526315814,0.4963157894736842,0.5936842105263158,0.0973684210526316
DOTA-v1.5,easy_composite,2048,0.8699218750000001,0.912060546875,0.04213867187499998,1.0,0.982421875,-0.017578125
SODA-A,hard_composite,3629,0.2169192615045466,0.3153485808762745,0.09842931937172789,0.2179663819233948,0.4216037475888675,0.2036373656654727
SODA-A,baseline_low_precision10,3194,0.1634001252348153,0.2661239824671259,0.10272385723231056,0.2172824045084533,0.3644333124608641,0.1471509079524108
SODA-A,few_positive_patches,1828,0.1297045951859956,0.1822757111597374,0.05257111597374178,0.1936542669584245,0.3172866520787746,0.1236323851203501
SODA-A,easy_composite,1823,0.8069116840373012,0.8627537026878772,0.05584201865057603,1.0,0.9380142622051564,-0.06198573779484362
