dataset,scale_set,precision_at_10,ndcg_at_10,object_recall_at_10
DOTA-v1.5,512 only,0.0018450184501842548,-0.0007538289111235219,-0.015012975927460426
DOTA-v1.5,1024 only,-0.0005904059040588994,-0.0014840537839744261,-0.008136590528661336
DOTA-v1.5,512 + 1024,0.04273062730627286,0.0632097410449165,0.07135720700906378
SODA-A,512 only,-0.003301540719002072,-0.008401133195380439,-0.028094217869156224
SODA-A,1024 only,0.0012472487160675172,0.0010085088122930852,-0.033227364161275585
SODA-A,512 + 1024,0.07498165810711643,0.08880042586803877,0.16647626302510887
