confidence,coverage,num_queries,risk_at_1,risk_at_5,risk_at_10,low_precision_at_10_rate,hit_at_1,hit_at_5,hit_at_10,precision_at_10,recall_at_10,dataset
consistency_confidence,0.1,542,0.055350553505535,0.0,0.0,0.1107011070110701,0.9446494464944648,1.0,1.0,0.8602442452995958,1.0,DOTA-v1.5
consistency_confidence,0.2,1084,0.047970479704797,0.003690036900369,0.0,0.1180811808118081,0.9520295202952028,0.996309963099631,1.0,0.820182085749429,0.977650035491364,DOTA-v1.5
consistency_confidence,0.3,1626,0.046740467404674,0.002460024600246,0.0,0.1230012300123001,0.953259532595326,0.997539975399754,1.0,0.8009547238329525,0.9313044012014686,DOTA-v1.5
consistency_confidence,0.4,2168,0.0498154981549815,0.003690036900369,0.0018450184501845,0.1439114391143911,0.9501845018450183,0.996309963099631,0.9981549815498156,0.7879854155684415,0.8680916331674474,DOTA-v1.5
consistency_confidence,0.5,2710,0.088560885608856,0.0191881918819188,0.0059040590405904,0.1845018450184501,0.911439114391144,0.9808118081180812,0.9940959409594096,0.7548901774732033,0.8118985016023581,DOTA-v1.5
consistency_confidence,0.6,3252,0.1131611316113161,0.027060270602706,0.01230012300123,0.2103321033210332,0.8868388683886839,0.972939729397294,0.98769987699877,0.7343027001698589,0.7511719366933496,DOTA-v1.5
consistency_confidence,0.7,3794,0.1576172904586188,0.0432261465471797,0.022140221402214,0.2451238798102266,0.8423827095413812,0.9567738534528204,0.977859778597786,0.7054170745789091,0.6990803738191252,DOTA-v1.5
consistency_confidence,0.8,4336,0.1891143911439114,0.0544280442804428,0.0313653136531365,0.2776752767527675,0.8108856088560885,0.9455719557195572,0.9686346863468634,0.678125549112634,0.6501083677857445,DOTA-v1.5
consistency_confidence,0.9,4878,0.2246822468224682,0.070520705207052,0.0410004100041,0.3169331693316933,0.7753177531775318,0.929479294792948,0.9589995899959,0.6482067201624397,0.6083376742361956,DOTA-v1.5
consistency_confidence,1.0,5420,0.2501845018450184,0.0907749077490775,0.0546125461254612,0.3476014760147601,0.7498154981549815,0.9092250922509224,0.9453874538745388,0.6239764540502547,0.5678957492766025,DOTA-v1.5
consistency_confidence,0.1,546,0.271062271062271,0.1098901098901098,0.0805860805860805,0.3076923076923077,0.7289377289377289,0.8901098901098901,0.9194139194139194,0.6351648351648352,0.326217433297243,SODA-A
consistency_confidence,0.2,1091,0.2960586617781851,0.1090742438130155,0.076076993583868,0.3473877176901925,0.7039413382218148,0.8909257561869844,0.923923006416132,0.5910174152153986,0.3069578939804945,SODA-A
consistency_confidence,0.3,1636,0.3080684596577017,0.1149144254278728,0.0757946210268948,0.3838630806845965,0.6919315403422983,0.8850855745721271,0.9242053789731052,0.5767726161369192,0.2891188934484357,SODA-A
consistency_confidence,0.4,2181,0.328748280605227,0.1338835396607061,0.0806969280146721,0.3924805135259055,0.671251719394773,0.8661164603392939,0.9193030719853278,0.5689591930307198,0.2703992902580113,SODA-A
consistency_confidence,0.5,2726,0.3418928833455613,0.1423330887747615,0.0895084372707263,0.4123257520176082,0.6581071166544388,0.8576669112252384,0.9104915627292736,0.5553191489361703,0.2644747849511161,SODA-A
consistency_confidence,0.6,3272,0.3618581907090464,0.1430317848410758,0.0867970660146699,0.421760391198044,0.6381418092909535,0.8569682151589242,0.91320293398533,0.5459657701711492,0.2558547155303763,SODA-A
consistency_confidence,0.7,3817,0.3783075713911449,0.1498559077809798,0.0890751899397432,0.4424941053183128,0.6216924286088551,0.8501440922190202,0.9109248100602568,0.5326696358396646,0.2491950384993683,SODA-A
consistency_confidence,0.8,4362,0.3823933975240715,0.1549747822099954,0.09353507565337,0.4543787253553416,0.6176066024759285,0.8450252177900046,0.90646492434663,0.5234754699679045,0.2452112268439061,SODA-A
consistency_confidence,0.9,4907,0.3984104340737721,0.1662930507438353,0.1010800896678214,0.4774811493784389,0.6015895659262278,0.8337069492561646,0.8989199103321786,0.5087833706949256,0.2383696400463511,SODA-A
consistency_confidence,1.0,5452,0.4057226705796038,0.1724137931034483,0.107116654438738,0.4878943506969919,0.5942773294203962,0.8275862068965517,0.8928833455612619,0.4983859134262655,0.2338205833485265,SODA-A
