method,template_id,num_queries,hit_at_1,hit_at_5,hit_at_10,precision_at_5,precision_at_10,recall_at_5,recall_at_10,dataset
semantic,t0,1355,0.6191881918819189,0.8464944649446494,0.8996309963099631,0.5827798277982777,0.5525373396591113,0.3191311710150265,0.4975883079600935,DOTA-v1.5
semantic,t1,1355,0.6774907749077491,0.8738007380073801,0.9232472324723248,0.6174661746617477,0.5768915832015481,0.3373623453029303,0.5219902978838954,DOTA-v1.5
semantic,t2,1355,0.6811808118081181,0.8671586715867159,0.9173431734317344,0.6192373923739236,0.5791056053417688,0.3355120382532284,0.5199065727960671,DOTA-v1.5
semantic,t3,1355,0.6472324723247233,0.8597785977859779,0.9143911439114392,0.5941451414514142,0.5591056053417681,0.3263420511030765,0.5094469214473288,DOTA-v1.5
priver,t0,1355,0.7498154981549815,0.9092250922509224,0.9453874538745388,0.6859532595325958,0.623976454050255,0.3790518497847271,0.5678957492766025,DOTA-v1.5
priver,t1,1355,0.7498154981549815,0.9092250922509224,0.9453874538745388,0.6859532595325958,0.623976454050255,0.3790518497847271,0.5678957492766025,DOTA-v1.5
priver,t2,1355,0.7498154981549815,0.9092250922509224,0.9453874538745388,0.6859532595325958,0.623976454050255,0.3790518497847271,0.5678957492766025,DOTA-v1.5
priver,t3,1355,0.7498154981549815,0.9092250922509224,0.9453874538745388,0.6859532595325958,0.623976454050255,0.3790518497847271,0.5678957492766025,DOTA-v1.5
semantic,t0,1363,0.4519442406456346,0.7035950110051358,0.8107116654438739,0.415113719735876,0.3971386647101985,0.0910651619844082,0.1656646386537951,SODA-A
semantic,t1,1363,0.516507703595011,0.7703595011005135,0.8525311812179017,0.4642699926632426,0.4391049156272936,0.10778570750495,0.1927352540394283,SODA-A
semantic,t2,1363,0.4783565663976522,0.7410124724871606,0.8319882611885546,0.4359501100513568,0.4129126925898747,0.0987824451900789,0.1763444520520231,SODA-A
semantic,t3,1363,0.471019809244314,0.7336757153338225,0.822450476889215,0.4349229640498901,0.4076302274394727,0.0973400451265612,0.1724954762727345,SODA-A
priver,t0,1363,0.5942773294203962,0.8275862068965517,0.8928833455612619,0.530007336757153,0.4983859134262658,0.1339796014966386,0.2338205833485265,SODA-A
priver,t1,1363,0.5942773294203962,0.8275862068965517,0.8928833455612619,0.530007336757153,0.4983859134262658,0.1339796014966386,0.2338205833485265,SODA-A
priver,t2,1363,0.5942773294203962,0.8275862068965517,0.8928833455612619,0.530007336757153,0.4983859134262658,0.1339796014966386,0.2338205833485265,SODA-A
priver,t3,1363,0.5942773294203962,0.8275862068965517,0.8928833455612619,0.530007336757153,0.4983859134262658,0.1339796014966386,0.2338205833485265,SODA-A
