Method,P@10,nDCG@10,Object R@10,P@10,nDCG@10,Object R@10
Semantic ranking,0.574,0.658,0.786,0.427,0.459,0.501
Prompt only,0.585,0.675,0.796,0.440,0.476,0.523
PRIVER,0.631,0.739,0.886,0.522,0.572,0.726
