confidence,coverage,num_queries,risk_at_1,risk_at_5,risk_at_10,low_precision_at_10_rate,hit_at_1,hit_at_5,hit_at_10,precision_at_10,recall_at_10,dataset
consistency_confidence,0.1,542,0.014760147601476,0.0,0.0,0.1107011070110701,0.985239852398524,1.0,1.0,0.8602442452995958,1.0,DOTA-v1.5
consistency_confidence,0.2,1084,0.025830258302583,0.0,0.0,0.1143911439114391,0.974169741697417,1.0,1.0,0.8169302407309786,0.9799935714142356,DOTA-v1.5
consistency_confidence,0.3,1626,0.029520295202952,0.0,0.0,0.1180811808118081,0.970479704797048,1.0,1.0,0.8014467287530018,0.9299873762973396,DOTA-v1.5
consistency_confidence,0.4,2168,0.0424354243542435,0.0018450184501845,0.0,0.1476014760147601,0.9575645756457564,0.9981549815498156,1.0,0.7813433491477771,0.8702663328850542,DOTA-v1.5
consistency_confidence,0.5,2710,0.0752767527675276,0.007380073800738,0.0044280442804428,0.1793357933579336,0.9247232472324723,0.992619926199262,0.9955719557195571,0.7571780003514321,0.8116869723223522,DOTA-v1.5
consistency_confidence,0.6,3252,0.1094710947109471,0.017220172201722,0.008610086100861,0.2054120541205412,0.8905289052890529,0.982779827798278,0.991389913899139,0.7386077432202893,0.7550465247125079,DOTA-v1.5
consistency_confidence,0.7,3794,0.147074327886136,0.029520295202952,0.0158144438587243,0.2414338429098576,0.8529256721138639,0.970479704797048,0.9841855561412756,0.7086853929763788,0.7039987093123606,DOTA-v1.5
consistency_confidence,0.8,4336,0.1826568265682656,0.0415129151291512,0.0230627306273062,0.272140221402214,0.8173431734317343,0.9584870848708488,0.9769372693726938,0.6820000878580214,0.6540046622040653,DOTA-v1.5
consistency_confidence,0.9,4878,0.2193521935219352,0.063960639606396,0.037720377203772,0.3185731857318573,0.7806478064780648,0.936039360393604,0.962279622796228,0.6470177082723209,0.6099882478658665,DOTA-v1.5
consistency_confidence,1.0,5420,0.244280442804428,0.0833948339483394,0.0472324723247232,0.3446494464944649,0.7557195571955719,0.9166051660516604,0.9527675276752768,0.6253048673343877,0.5696590832033182,DOTA-v1.5
consistency_confidence,0.1,546,0.2490842490842491,0.0732600732600732,0.0512820512820512,0.293040293040293,0.7509157509157509,0.9267399267399268,0.9487179487179488,0.6468864468864469,0.3514716762246104,SODA-A
consistency_confidence,0.2,1091,0.2896425297891842,0.0953253895508707,0.069660861594867,0.3593033913840513,0.7103574702108157,0.9046746104491292,0.9303391384051328,0.5901924839596701,0.3178680827528985,SODA-A
consistency_confidence,0.3,1636,0.295843520782396,0.0953545232273838,0.0611246943765281,0.3643031784841076,0.7041564792176039,0.904645476772616,0.938875305623472,0.5904645476772616,0.2870837122361956,SODA-A
consistency_confidence,0.4,2181,0.3227877120586886,0.1192113709307657,0.0751948647409445,0.4016506189821183,0.6772122879413113,0.8807886290692343,0.9248051352590556,0.564053186611646,0.2754280918480773,SODA-A
consistency_confidence,0.5,2726,0.3382245047688921,0.1144534115920763,0.0733675715333822,0.4218635363169479,0.6617754952311079,0.8855465884079237,0.9266324284666178,0.5512839325018343,0.2654553077713559,SODA-A
consistency_confidence,0.6,3272,0.3569682151589242,0.128361858190709,0.0745721271393643,0.4339853300733496,0.6430317848410758,0.871638141809291,0.9254278728606355,0.543398533007335,0.2563565219075036,SODA-A
consistency_confidence,0.7,3817,0.3743777835996856,0.1341367566151428,0.079643699240241,0.4592611998952056,0.6256222164003143,0.8658632433848572,0.9203563007597588,0.5293686140948388,0.2494199834562479,SODA-A
consistency_confidence,0.8,4362,0.3796423658872077,0.140302613480055,0.0816139385602934,0.4713434204493352,0.6203576341127923,0.859697386519945,0.9183860614397066,0.5210453920220083,0.2456090800090914,SODA-A
consistency_confidence,0.9,4907,0.3961687385367842,0.1491746484613817,0.084776849398818,0.4866517220297534,0.6038312614632159,0.8508253515386183,0.915223150601182,0.5103729366211535,0.2405228786281128,SODA-A
consistency_confidence,1.0,5452,0.3991195891415994,0.152604548789435,0.0902421129860601,0.4937637564196625,0.6008804108584006,0.8473954512105649,0.90975788701394,0.5021276595744681,0.2358214391495754,SODA-A
