image_id,class_name,threshold,object_recall_bound,target_objects,available_objects,qualified_patches
00310,airplane,64,0.8333333333333334,12,10,7
00310,airplane,256,0.08333333333333333,12,1,1
00310,large-vehicle,0,1.0,1,1,2
00310,large-vehicle,16,1.0,1,1,2
00310,large-vehicle,64,1.0,1,1,1
00310,large-vehicle,256,0.0,1,0,0
00310,small-vehicle,0,1.0,219,219,9
00310,small-vehicle,16,0.3881278538812785,219,85,6
00310,small-vehicle,64,0.0,219,0,0
00310,small-vehicle,256,0.0,219,0,0
00310,storage-tank,0,1.0,1,1,2
00310,storage-tank,16,1.0,1,1,2
00310,storage-tank,64,1.0,1,1,2
00310,storage-tank,256,1.0,1,1,1
00312,airplane,0,1.0,171,171,23
00312,airplane,16,0.9941520467836257,171,170,23
00312,airplane,64,0.543859649122807,171,93,18
00312,airplane,256,0.1111111111111111,171,19,7
00312,container,0,1.0,68,68,13
00312,container,16,1.0,68,68,7
00312,container,64,0.0,68,0,0
00312,container,256,0.0,68,0,0
00312,large-vehicle,0,1.0,129,129,23
00312,large-vehicle,16,0.7751937984496124,129,100,14
00312,large-vehicle,64,0.007751937984496124,129,1,1
00312,large-vehicle,256,0.0,129,0,0
00312,small-vehicle,0,1.0,58,58,14
00312,small-vehicle,16,0.0,58,0,0
00312,small-vehicle,64,0.0,58,0,0
00312,small-vehicle,256,0.0,58,0,0
00312,storage-tank,0,1.0,1,1,5
00312,storage-tank,16,1.0,1,1,5
00312,storage-tank,64,1.0,1,1,1
00312,storage-tank,256,0.0,1,0,0
00328,airplane,0,1.0,9,9,13
00328,airplane,16,1.0,9,9,13
00328,airplane,64,1.0,9,9,7
00328,airplane,256,0.0,9,0,0
00328,container,0,1.0,4,4,10
00328,container,16,1.0,4,4,10
00328,container,64,1.0,4,4,6
00328,container,256,0.0,4,0,0
00328,large-vehicle,0,1.0,41,41,35
00328,large-vehicle,16,1.0,41,41,33
00328,large-vehicle,64,0.9024390243902439,41,37,20
00328,large-vehicle,256,0.0,41,0,0
00328,small-vehicle,0,1.0,349,349,72
00328,small-vehicle,16,0.994269340974212,349,347,53
00328,small-vehicle,64,0.02865329512893983,349,10,4
00328,small-vehicle,256,0.0,349,0,0
00328,swimming-pool,0,1.0,1,1,8
00328,swimming-pool,16,1.0,1,1,8
00328,swimming-pool,64,1.0,1,1,8
00328,swimming-pool,256,1.0,1,1,4
00331,container,0,1.0,5,5,10
00331,container,16,1.0,5,5,8
00331,container,64,0.6,5,3,3
00331,container,256,0.0,5,0,0
00331,large-vehicle,0,1.0,2,2,7
00331,large-vehicle,16,1.0,2,2,7
00331,large-vehicle,64,1.0,2,2,4
00331,large-vehicle,256,0.0,2,0,0
00331,small-vehicle,0,1.0,13,13,22
00331,small-vehicle,16,1.0,13,13,13
00331,small-vehicle,64,0.0,13,0,0
00331,small-vehicle,256,0.0,13,0,0
00331,storage-tank,0,1.0,9,9,11
00331,storage-tank,16,1.0,9,9,7
00331,storage-tank,64,0.6666666666666666,9,6,2
00331,storage-tank,256,0.0,9,0,0
00339,airplane,0,1.0,8,8,16
00339,airplane,16,1.0,8,8,16
00339,airplane,64,0.875,8,7,10
00339,airplane,256,0.0,8,0,0
00339,container,0,1.0,72,72,20
00339,container,16,0.9583333333333334,72,69,12
00339,container,64,0.1527777777777778,72,11,4
00339,container,256,0.0,72,0,0
00339,large-vehicle,0,1.0,1,1,4
00339,large-vehicle,16,1.0,1,1,2
00339,large-vehicle,64,0.0,1,0,0
00339,large-vehicle,256,0.0,1,0,0
00339,ship,0,1.0,1,1,6
00339,ship,16,0.0,1,0,0
00339,ship,64,0.0,1,0,0
00339,ship,256,0.0,1,0,0
00339,small-vehicle,0,0.9885057471264368,174,172,32
00339,small-vehicle,16,0.1206896551724138,174,21,15
00339,small-vehicle,64,0.0,174,0,0
00339,small-vehicle,256,0.0,174,0,0
00339,storage-tank,0,1.0,1,1,2
00339,storage-tank,16,1.0,1,1,2
00339,storage-tank,64,1.0,1,1,1
00339,storage-tank,256,0.0,1,0,0
00339,swimming-pool,0,1.0,1,1,3
00339,swimming-pool,16,1.0,1,1,3
00339,swimming-pool,64,1.0,1,1,2
00339,swimming-pool,256,0.0,1,0,0
00343,container,0,1.0,24,24,20
00343,container,16,1.0,24,24,20
00343,container,64,0.7916666666666666,24,19,7
00343,container,256,0.0,24,0,0
00343,large-vehicle,0,1.0,12,12,22
00343,large-vehicle,16,1.0,12,12,21
00343,large-vehicle,64,0.8333333333333334,12,10,11
00343,large-vehicle,256,0.0,12,0,0
00343,small-vehicle,0,0.9844559585492227,386,380,78
00343,small-vehicle,16,0.9689119170984456,386,374,59
00343,small-vehicle,64,0.0,386,0,0
00343,small-vehicle,256,0.0,386,0,0
00356,airplane,0,1.0,88,88,28
00356,airplane,16,0.9772727272727273,88,86,28
00356,airplane,64,0.6818181818181818,88,60,19
00356,airplane,256,0.06818181818181818,88,6,3
00356,container,0,1.0,7,7,8
00356,container,16,0.2857142857142857,7,2,2
00356,container,64,0.0,7,0,0
00356,container,256,0.0,7,0,0
00356,helicopter,0,1.0,2,2,6
00356,helicopter,16,1.0,2,2,6
00356,helicopter,64,1.0,2,2,6
00356,helicopter,256,0.5,2,1,1
00356,large-vehicle,0,1.0,11,11,8
00356,large-vehicle,16,1.0,11,11,6
00356,large-vehicle,64,0.0,11,0,0
00356,large-vehicle,256,0.0,11,0,0
00356,small-vehicle,0,0.9763313609467456,169,165,39
00356,small-vehicle,16,0.011834319526627219,169,2,2
00356,small-vehicle,64,0.0,169,0,0
00356,small-vehicle,256,0.0,169,0,0
00356,storage-tank,0,1.0,5,5,10
00356,storage-tank,16,1.0,5,5,10
00356,storage-tank,64,0.6,5,3,6
00356,storage-tank,256,0.0,5,0,0
00359,windmill,0,1.0,13,13,27
00359,windmill,16,1.0,13,13,27
00359,windmill,64,1.0,13,13,18
00359,windmill,256,0.15384615384615385,13,2,2
00380,windmill,0,1.0,66,66,85
00380,windmill,16,1.0,66,66,85
00380,windmill,64,0.9696969696969697,66,64,64
00380,windmill,256,0.0,66,0,0
00384,container,0,1.0,51,51,35
00384,container,16,1.0,51,51,35
00384,container,64,0.9803921568627451,51,50,20
00384,container,256,0.0,51,0,0
00384,large-vehicle,0,1.0,233,233,73
00384,large-vehicle,16,1.0,233,233,73
00384,large-vehicle,64,0.9914163090128756,233,231,66
00384,large-vehicle,256,0.3948497854077253,233,92,24
00384,small-vehicle,0,1.0,443,443,83
00384,small-vehicle,16,0.9729119638826185,443,431,73
00384,small-vehicle,64,0.056433408577878104,443,25,16
00384,small-vehicle,256,0.0,443,0,0
00384,swimming-pool,0,1.0,1,1,5
00384,swimming-pool,16,1.0,1,1,5
00384,swimming-pool,64,1.0,1,1,3
00384,swimming-pool,256,0.0,1,0,0
00392,windmill,0,1.0,38,38,77
00392,windmill,16,1.0,38,38,77
00392,windmill,64,1.0,38,38,73
00392,windmill,256,0.5263157894736842,38,20,27
00406,windmill,0,1.0,18,18,37
00406,windmill,16,1.0,18,18,37
00406,windmill,64,1.0,18,18,22
00406,windmill,256,0.0,18,0,0
00417,windmill,0,1.0,103,103,56
00417,windmill,16,1.0,103,103,56
00417,windmill,64,0.9029126213592233,103,93,48
00417,windmill,256,0.07766990291262135,103,8,11
00423,windmill,0,0.9955022488755623,667,664,98
00423,windmill,16,0.9310344827586207,667,621,97
00423,windmill,64,0.3748125937031484,667,250,73
00423,windmill,256,0.004497751124437781,667,3,3
00448,airplane,0,1.0,7,7,9
00448,airplane,16,1.0,7,7,8
00448,airplane,64,0.7142857142857143,7,5,5
00448,airplane,256,0.0,7,0,0
00448,large-vehicle,0,1.0,1,1,2
00448,large-vehicle,16,0.0,1,0,0
00448,large-vehicle,64,0.0,1,0,0
00448,large-vehicle,256,0.0,1,0,0
00448,small-vehicle,0,1.0,8,8,4
00448,small-vehicle,16,0.0,8,0,0
00448,small-vehicle,64,0.0,8,0,0
00448,small-vehicle,256,0.0,8,0,0
00459,airplane,0,1.0,30,30,26
00459,airplane,16,1.0,30,30,26
00459,airplane,64,0.7,30,21,22
00459,airplane,256,0.1,30,3,5
00459,large-vehicle,0,1.0,9,9,5
00459,large-vehicle,16,0.1111111111111111,9,1,1
00459,large-vehicle,64,0.0,9,0,0
00459,large-vehicle,256,0.0,9,0,0
00459,small-vehicle,0,1.0,107,107,26
00459,small-vehicle,16,0.028037383177570093,107,3,4
00459,small-vehicle,64,0.0,107,0,0
00459,small-vehicle,256,0.0,107,0,0
00462,windmill,0,1.0,20,20,46
00462,windmill,16,1.0,20,20,46
00462,windmill,64,1.0,20,20,37
00462,windmill,256,0.5,20,10,13
00468,windmill,0,1.0,27,27,27
00468,windmill,16,1.0,27,27,27
00468,windmill,64,0.8888888888888888,27,24,19
00468,windmill,256,0.037037037037037035,27,1,1
00481,airplane,0,1.0,28,28,8
00481,airplane,16,1.0,28,28,8
00481,airplane,64,1.0,28,28,6
00481,airplane,256,0.0,28,0,0
00481,helicopter,0,1.0,1,1,2
00481,helicopter,16,1.0,1,1,2
00481,helicopter,64,1.0,1,1,2
00481,helicopter,256,1.0,1,1,1
00481,large-vehicle,0,1.0,2,2,7
00481,large-vehicle,16,1.0,2,2,4
00481,large-vehicle,64,0.0,2,0,0
00481,large-vehicle,256,0.0,2,0,0
00481,small-vehicle,0,1.0,163,163,26
00481,small-vehicle,16,0.4601226993865031,163,75,16
00481,small-vehicle,64,0.0,163,0,0
00481,small-vehicle,256,0.0,163,0,0
00488,windmill,0,1.0,83,83,83
00488,windmill,16,1.0,83,83,83
00488,windmill,64,0.927710843373494,83,77,78
00488,windmill,256,0.1927710843373494,83,16,18
00490,windmill,0,0.98,50,49,65
00490,windmill,16,0.98,50,49,65
00490,windmill,64,0.94,50,47,54
00490,windmill,256,0.12,50,6,10
00493,windmill,0,1.0,13,13,26
00493,windmill,16,1.0,13,13,26
00493,windmill,64,1.0,13,13,20
00493,windmill,256,0.15384615384615385,13,2,4
00498,airplane,0,1.0,15,15,19
00498,airplane,16,1.0,15,15,19
00498,airplane,64,1.0,15,15,15
00498,airplane,256,0.26666666666666666,15,4,4
00498,container,0,1.0,39,39,15
00498,container,16,0.7692307692307693,39,30,8
00498,container,64,0.0,39,0,0
00498,container,256,0.0,39,0,0
00498,large-vehicle,0,1.0,38,38,35
00498,large-vehicle,16,0.868421052631579,38,33,26
00498,large-vehicle,64,0.18421052631578946,38,7,8
00498,large-vehicle,256,0.0,38,0,0
00498,small-vehicle,0,0.8560741004631279,2807,2403,73
00498,small-vehicle,16,0.003918774492340577,2807,11,10
00498,small-vehicle,64,0.0,2807,0,0
00498,small-vehicle,256,0.0,2807,0,0
00498,swimming-pool,0,1.0,204,204,71
00498,swimming-pool,16,0.9901960784313726,204,202,62
00498,swimming-pool,64,0.014705882352941176,204,3,10
00498,swimming-pool,256,0.0,204,0,0
00502,airplane,0,1.0,30,30,10
00502,airplane,16,1.0,30,30,10
00502,airplane,64,1.0,30,30,9
00502,airplane,256,0.03333333333333333,30,1,2
00502,container,0,1.0,14,14,11
00502,container,16,1.0,14,14,6
00502,container,64,0.0,14,0,0
00502,container,256,0.0,14,0,0
00502,large-vehicle,0,1.0,5,5,18
00502,large-vehicle,16,1.0,5,5,11
00502,large-vehicle,64,0.0,5,0,0
00502,large-vehicle,256,0.0,5,0,0
00502,ship,0,1.0,87,87,34
00502,ship,16,0.9770114942528736,87,85,24
00502,ship,64,0.05747126436781609,87,5,6
00502,ship,256,0.011494252873563218,87,1,2
00502,small-vehicle,0,1.0,178,178,38
00502,small-vehicle,16,0.6741573033707865,178,120,23
00502,small-vehicle,64,0.0,178,0,0
00502,small-vehicle,256,0.0,178,0,0
00502,swimming-pool,0,1.0,2,2,5
00502,swimming-pool,16,1.0,2,2,5
00502,swimming-pool,64,1.0,2,2,4
00502,swimming-pool,256,0.5,2,1,2
00510,airplane,0,1.0,26,26,24
00510,airplane,16,1.0,26,26,24
00510,airplane,64,0.9615384615384616,26,25,17
00510,airplane,256,0.0,26,0,0
00510,small-vehicle,0,1.0,407,407,28
00510,small-vehicle,16,0.9213759213759214,407,375,14
00510,small-vehicle,64,0.0,407,0,0
00510,small-vehicle,256,0.0,407,0,0
00514,airplane,0,1.0,136,136,39
00514,airplane,16,0.9852941176470589,136,134,38
00514,airplane,64,0.9632352941176471,136,131,29
00514,airplane,256,0.03676470588235294,136,5,4
00514,storage-tank,0,1.0,8,8,3
00514,storage-tank,16,1.0,8,8,3
00514,storage-tank,64,1.0,8,8,1
00514,storage-tank,256,0.0,8,0,0
00529,windmill,0,1.0,55,55,76
00529,windmill,16,1.0,55,55,76
00529,windmill,64,0.9818181818181818,55,54,60
00529,windmill,256,0.03636363636363636,55,2,4
00530,airplane,0,1.0,20,20,13
00530,airplane,16,1.0,20,20,13
00530,airplane,64,1.0,20,20,6
00530,airplane,256,0.0,20,0,0
00530,container,0,1.0,3,3,5
00530,container,16,1.0,3,3,3
00530,container,64,0.3333333333333333,3,1,1
00530,container,256,0.0,3,0,0
00530,large-vehicle,0,1.0,4,4,8
00530,large-vehicle,16,1.0,4,4,5
00530,large-vehicle,64,0.0,4,0,0
00530,large-vehicle,256,0.0,4,0,0
00530,small-vehicle,0,0.9845679012345679,324,319,48
00530,small-vehicle,16,0.5370370370370371,324,174,31
00530,small-vehicle,64,0.0,324,0,0
00530,small-vehicle,256,0.0,324,0,0
00538,windmill,0,1.0,47,47,40
00538,windmill,16,1.0,47,47,40
00538,windmill,64,0.9787234042553191,47,46,23
00538,windmill,256,0.0,47,0,0
00550,airplane,0,1.0,125,125,45
00550,airplane,16,0.992,125,124,45
00550,airplane,64,0.464,125,58,34
00550,airplane,256,0.04,125,5,6
00550,swimming-pool,0,1.0,5,5,10
00550,swimming-pool,16,1.0,5,5,5
00550,swimming-pool,64,0.0,5,0,0
00550,swimming-pool,256,0.0,5,0,0
00553,airplane,0,1.0,9,9,14
00553,airplane,16,1.0,9,9,14
00553,airplane,64,1.0,9,9,11
00553,airplane,256,0.0,9,0,0
00553,helicopter,0,1.0,5,5,7
00553,helicopter,16,1.0,5,5,7
00553,helicopter,64,1.0,5,5,4
00553,helicopter,256,0.0,5,0,0
00553,large-vehicle,0,1.0,4,4,10
00553,large-vehicle,16,1.0,4,4,5
00553,large-vehicle,64,0.0,4,0,0
00553,large-vehicle,256,0.0,4,0,0
00553,small-vehicle,0,1.0,178,178,19
00553,small-vehicle,16,0.20224719101123595,178,36,11
00553,small-vehicle,64,0.0,178,0,0
00553,small-vehicle,256,0.0,178,0,0
00553,storage-tank,0,1.0,1,1,2
00553,storage-tank,16,1.0,1,1,2
00553,storage-tank,64,1.0,1,1,2
00553,storage-tank,256,1.0,1,1,1
00553,swimming-pool,0,1.0,2,2,4
00553,swimming-pool,16,1.0,2,2,4
00553,swimming-pool,64,1.0,2,2,2
00553,swimming-pool,256,0.0,2,0,0
00557,ship,0,1.0,1,1,3
00557,ship,16,1.0,1,1,3
00557,ship,64,1.0,1,1,2
00557,ship,256,0.0,1,0,0
00557,small-vehicle,0,1.0,1165,1165,95
00557,small-vehicle,16,0.91931330472103,1165,1071,76
00557,small-vehicle,64,0.002575107296137339,1165,3,4
00557,small-vehicle,256,0.0,1165,0,0
00557,storage-tank,0,1.0,1,1,2
00557,storage-tank,16,1.0,1,1,1
00557,storage-tank,64,0.0,1,0,0
00557,storage-tank,256,0.0,1,0,0
00557,swimming-pool,0,1.0,182,182,92
00557,swimming-pool,16,1.0,182,182,92
00557,swimming-pool,64,0.978021978021978,182,178,75
00557,swimming-pool,256,0.027472527472527472,182,5,7
00562,airplane,0,1.0,10,10,14
00562,airplane,16,1.0,10,10,12
00562,airplane,64,0.7,10,7,7
