method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,00269,windmill,64,0.7,0.5914640815742043,0.391304347826087
prompt,00269,windmill,256,0.1,0.20438239758848611,0.043478260869565216
prompt,00283,large-vehicle,0,0.0,0.0,0.0
prompt,00283,large-vehicle,16,0.0,0.0,0.0
prompt,00283,large-vehicle,64,0.0,0.0,0.0
prompt,00283,large-vehicle,256,0.0,0.0,0.0
prompt,00283,small-vehicle,0,1.0,1.0,0.6225772655840754
prompt,00283,small-vehicle,16,1.0,1.0,0.6178627553693034
prompt,00283,small-vehicle,64,0.6,0.5617131059245698,0.002357255107386066
prompt,00283,small-vehicle,256,0.0,0.0,0.0
prompt,00284,airplane,0,0.8,0.8236998933965709,0.49645390070921985
prompt,00284,airplane,16,0.8,0.8236998933965709,0.475177304964539
prompt,00284,airplane,64,0.8,0.8236998933965709,0.40425531914893614
prompt,00284,airplane,256,0.4,0.3219505391887988,0.06382978723404255
prompt,00284,storage-tank,0,0.1,0.2529427027676571,0.7142857142857143
prompt,00284,storage-tank,16,0.1,0.2529427027676571,0.7142857142857143
prompt,00284,storage-tank,64,0.1,0.3903800499921017,0.23809523809523808
prompt,00284,storage-tank,256,0.0,0.0,0.0
prompt,00286,large-vehicle,0,0.6,0.6149518506608846,0.5
prompt,00286,large-vehicle,16,0.6,0.6149518506608846,0.5
prompt,00286,large-vehicle,64,0.4,0.4721567066247473,0.25
prompt,00286,large-vehicle,256,0.0,0.0,0.0
prompt,00286,small-vehicle,0,1.0,1.0,0.5841584158415841
prompt,00286,small-vehicle,16,0.8,0.8263333286520083,0.2871287128712871
prompt,00286,small-vehicle,64,0.2,0.6508205185601091,0.009900990099009901
prompt,00286,small-vehicle,256,0.0,0.0,0.0
prompt,00286,swimming-pool,0,0.5,0.6371523797895856,0.8
prompt,00286,swimming-pool,16,0.5,0.6371523797895856,0.8
prompt,00286,swimming-pool,64,0.4,0.5637884576902256,0.8
prompt,00286,swimming-pool,256,0.1,0.3065735963827292,0.2
prompt,00294,windmill,0,0.6,0.6968404678259545,0.5
prompt,00294,windmill,16,0.6,0.6968404678259545,0.5
prompt,00294,windmill,64,0.4,0.5637884576902256,0.5
prompt,00294,windmill,256,0.1,0.3903800499921017,0.1
prompt,00300,windmill,0,0.3,0.39375843764607193,0.3
prompt,00300,windmill,16,0.3,0.39375843764607193,0.3
prompt,00300,windmill,64,0.3,0.39375843764607193,0.2
prompt,00300,windmill,256,0.1,0.3065735963827292,0.1
prompt,00305,windmill,0,0.9,0.9363792118010483,0.3283582089552239
prompt,00305,windmill,16,0.9,0.9363792118010483,0.3283582089552239
prompt,00305,windmill,64,0.4,0.3845937724137609,0.13432835820895522
prompt,00305,windmill,256,0.0,0.0,0.0
prompt,00310,airplane,0,0.3,0.36211082347570717,0.6666666666666666
prompt,00310,airplane,16,0.3,0.36211082347570717,0.6666666666666666
prompt,00310,airplane,64,0.1,0.2529427027676571,0.16666666666666666
prompt,00310,airplane,256,0.0,0.0,0.0
prompt,00310,large-vehicle,0,0.0,0.0,0.0
prompt,00310,large-vehicle,16,0.0,0.0,0.0
